Country,Number of point records
Antigua and Barbuda,1
Canada,25
Costa Rica,2
Cuba,3
Greenland,5
Mexico,15
Nicaragua,1
Panama,1
United States,1
Argentina,20
Brazil,6
Chile,11
Ecuador,4
Peru,1
Uruguay,7
Venezuela,4
Algeria,2
Angola,5
Djibouti,1
Egypt,8
Gambia,2
Ghana,2
Iran (Islamic Republic of),5
Iraq,1
Kenya,2
Kuwait,5
Mauritania,3
Morocco,3
Namibia,2
Oman,1
Pakistan,2
Qatar,2
Saudi Arabia,14
Somalia,1
South Africa,12
Sudan,1
"Tanzania, United Republic of",1
Tunisia,2
United Arab Emirates,8
Western Sahara,1
Albania,8
Azerbaijan,1
Bulgaria,1
Croatia,2
Estonia,47
Georgia,2
Greece,83
Iceland,3
Latvia,8
Lithuania,1
Norway,7
Poland,9
Slovenia,1
Spain,2
Sweden,5
Ukraine,4
Russia,29
American Samoa,2
Cook Islands,1
Fiji,1
New Caledonia,1
Tonga,2
Vanuatu,2
Bahrain,4
Cambodia,1
India,6
Japan,9
"Korea, DPR",1
"Korea, Republic of",3
Philippines,2
Sri Lanka,10
Taiwan,1
Viet Nam,10
