1,2,3,4,5,6,7,8,9
,,μ median,N,μ mean,N,μ s.e.,,Average
,Data categories,(% rate change,(μ median),(% rate change,(μ,net area(standard error (Ha),,length of
,,per year),,per year),average),on mean),,study (years)
Overall,,,,,,,,
<1930,,-0.76,2,-0.76,2,0.14 -14730,,82.5
1930-1940,,2.50,11,2.26,11,1.07 -14165,,27.9
1940-1950,,-0.42,27,0.09,27,1.11 -15916,,27.7
1950-1960,,-0.42,59,1.36,58,1.12 -28566,,22.1
1960-1970,,-0.79,92,-1.64,89,0.99 -25955,,17.7
1970-1980,,-0.84,140,-2.90,129,1.10 -42532,,15.8
1980-1990,,-0.32,236,-0.02,223,1.06 -333863,,11.4
1990-2000,,-0.29,275,-1.26,265,1.92 -319670,,8.6
Decreasing,,,,,,,,
<1930 decreasing,,-0.76,2,-0.76,2,0.14 -14730,,82.5
1930-1940 decreasing,,-0.89,3,-1.80,3,1.04 -14880,,20.0
1940-1950 decreasing,,-1.82,13,-3.83,13,1.31 -16667,,28.3
1950-1960 decreasing,,-1.82,28,-3.40,27,0.80 -34280,,27.3
1960-1970 decreasing,,-3.03,49,-5.85,46,1.51 -47575,,20.5
1970-1980 decreasing,,-4.46,69,-7.75,65,1.96 -66348,,17.0
1980-1990 decreasing,,-5.53,98,-9.23,94,1.12 -371465,,14.7
1990-2000 decreasing,,-7.67,115,-15.90,109,3.43 -348830,,9.5
Increasing,,,,,,,,
<1930 increasing,,no records,,,,,,
1930-1940 increasing,,4.49,7,4.35,7,0.91 721,,15.8
1940-1950 increasing,,4.49,11,4.89,11,1.14 786,,15.4
1950-1960 increasing,,4.82,20,8.57,20,2.29 4923,,11.7
1960-1970 increasing,,4.26,21,5.98,21,1.38 20880,,10.4
1970-1980 increasing,,4.34,37,4.76,30,0.69 23039,,14.2
1980-1990 increasing,,6.38,75,12.42,66,2.48 35749,,8.8
1990-2000 increasing,,8.45,72,19.07,68,3.83 28823,,7.9
No detectable change,,,,,,,,
<1930 no detectable change,,no records,,,,,,
1930-1940 no detectable change,,-0.13,1,-0.13,1,-,-6,41.6
,NA,NA,NA,NA,NA,NA,NA,NA
