"","TaxonKey","TaxonName","CommonName","Gear","GearName","bycatch","destruction","FunctionalGroupDescription","fish_type"
"1",600107,"Katsuwonus pelamis","Skipjack tuna",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"2",600216,"Makaira nigricans","Atlantic blue marlin",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"3",600006,"Coryphaena hippurus","Common dolphinfish",1000,"surrounding nets","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"4",600143,"Thunnus albacares","Yellowfin tuna",424,"troll lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"5",300061,"Pleuronectiformes","Flatfishes",421,"handlines","low","non-destructive","Small to medium flatfishes (<90 cm)","demersal"
"6",600078,"Istiophorus albicans","Atlantic sailfish",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"7",600143,"Thunnus albacares","Yellowfin tuna",440,"pole line tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"8",600146,"Thunnus obesus","Bigeye tuna",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"9",600218,"Makaira mazara","Indo-Pacific blue marlin",420,"with gorges or hooks","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"10",600143,"Thunnus albacares","Yellowfin tuna",1050,"purse seine tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"11",300028,"Clupeiformes","Herrings",900,"seine nets","high","non-destructive","Small pelagics (<30 cm)","pelagic"
"12",601288,"Trichiurus lepturus","Largehead hairtail",920,"genuine seine net","high","non-destructive","Large benthopelagics (>=90 cm)","pelagic"
"13",400314,"Carangidae","Jacks and pompanos",1540,"trammel nets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"14",600142,"Thunnus alalunga","Albacore",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"15",600226,"Xiphias gladius","Swordfish",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"16",600219,"Tetrapturus albidus","Atlantic white marlin",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"17",600142,"Thunnus alalunga","Albacore",440,"pole line tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"18",600226,"Xiphias gladius","Swordfish",1050,"purse seine tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"19",600216,"Makaira nigricans","Atlantic blue marlin",1400,"gillnets","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"20",601520,"Clupea pallasii pallasii","Pacific herring",1400,"gillnets","high","non-destructive","Medium pelagics (30 - 89 cm)","pelagic"
"21",600226,"Xiphias gladius","Swordfish",450,"longline tuna","high","non-destructive","Large pelagics (>=90 cm)","pelagic"
"22",600142,"Thunnus alalunga","Albacore",424,"troll lines","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
"23",600107,"Katsuwonus pelamis","Skipjack tuna",1050,"purse seine tuna","low","non-destructive","Large pelagics (>=90 cm)","pelagic"
