comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,cat,cat_txt,cat_score,eval_yr,year,cat_2016_score
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1966,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1967,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1968,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1969,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1970,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1971,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1972,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1973,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1974,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1975,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1976,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1977,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1978,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1979,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1980,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1981,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1982,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1983,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,1984,0
