,,,,,,,,,,,,,,,,,,,,,,,SANITATION,Year,,,,,NATIONAL,,,,,,,RURAL,,,,,,,URBAN,,,,,,,,,,,,,,,
SANITATION,,,,,,,        NATIONAL,,,,,,        RURAL,,,,,,         URBAN,,,,"COUNTRY, AREA OR TERRITORY",,,"Proportion of population using improved 
sanitation facilities (excluding shared)",,,,,,,"Proportion of population using improved 
sanitation facilities (excluding shared)",,,,,,,"Proportion of population using improved 
sanitation facilities (excluding shared)",,,,,,,,,,,,,,,,,,
"COUNTRY, AREA OR TERRITORY",ISO3,Year,"Population 
(thousands)",% urban,At least basic,Limited (shared),Unimproved,Open defecation,Annual rate of change in basic,Annual rate of change in open defecation,At least basic,Limited (shared),Unimproved,Open defecation,Annual rate of change in basic,Annual rate of change in open defecation,At least basic,Limited (shared),Unimproved,Open defecation,Annual rate of change in basic,Annual rate of change in open defecation,,,,Safely managed,Disposed in situ,Emptied and treated,Wastewater treated,Latrines and other,Septic tanks,Sewer connections,Safely managed,Disposed in situ,Emptied and treated,Wastewater treated,Latrines and other,Septic tanks,Sewer connections,Safely managed,Disposed in situ,Emptied and treated,Wastewater treated,Latrines and other,Septic tanks,Sewer connections,Sl,,,,,,,,,,,
Afghanistan,AFG,2000,   19 702,21,24,5,44,26,1.02,-0.86,22,3,43,32,0.74,-0.87,31,12,49,8,1.67,-0.51,Afghanistan,2000,,-,-,-,-,17,6,2,-,-,-,-,20,1,1,-,-,-,-,7,19,5,#REF!,,,,,,,,,,,
Afghanistan,AFG,2001,   20 531,22,24,5,44,26,1.02,-0.86,22,3,43,32,0.74,-0.87,31,12,49,8,1.67,-0.51,Afghanistan,2001,,-,-,-,-,16,6,2,-,-,-,-,20,1,1,-,-,-,-,7,19,5,#REF!,,,,,,,,,,,
Afghanistan,AFG,2002,   21 487,22,25,5,44,25,1.02,-0.86,23,4,43,31,0.74,-0.87,33,12,47,7,1.67,-0.51,Afghanistan,2002,,-,-,-,-,17,6,2,-,-,-,-,21,1,1,-,-,-,-,9,19,5,#REF!,,,,,,,,,,,
Afghanistan,AFG,2003,   22 507,22,26,6,44,25,1.02,-0.86,23,4,43,30,0.74,-0.87,35,13,46,6,1.67,-0.51,Afghanistan,2003,,-,-,-,-,18,6,2,-,-,-,-,21,1,1,-,-,-,-,11,19,5,#REF!,,,,,,,,,,,
Afghanistan,AFG,2004,   23 500,23,27,6,43,24,1.02,-0.86,24,4,43,29,0.74,-0.87,37,14,44,6,1.67,-0.51,Afghanistan,2004,,-,-,-,-,19,6,2,-,-,-,-,22,1,1,-,-,-,-,12,19,5,#REF!,,,,,,,,,,,
Afghanistan,AFG,2005,   24 400,23,28,6,43,23,1.02,-0.86,25,4,43,28,0.74,-0.87,38,14,42,5,1.67,-0.51,Afghanistan,2005,,-,-,-,-,20,6,2,-,-,-,-,23,1,1,-,-,-,-,14,19,5,#REF!,,,,,,,,,,,
Afghanistan,AFG,2006,   25 184,23,29,7,42,22,1.02,-0.86,26,4,43,27,0.74,-0.87,40,15,40,5,1.67,-0.51,Afghanistan,2006,,-,-,-,-,21,6,2,-,-,-,-,24,1,1,-,-,-,-,15,19,6,#REF!,,,,,,,,,,,
Afghanistan,AFG,2007,   25 878,24,30,7,42,21,1.02,-0.86,27,4,43,26,0.74,-0.87,42,16,38,4,1.67,-0.51,Afghanistan,2007,,-,-,-,-,22,6,2,-,-,-,-,24,1,1,-,-,-,-,17,19,6,#REF!,,,,,,,,,,,
