site_number,site_name,bioregion,country,start_year,end_year,area_cat,mu,year,area
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1986,2100
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1987,2300
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1989,2200
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1990,2300
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1991,2600
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1992,3200
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1993,3400
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1994,3700
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1995,3400
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1996,4000
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1997,5000
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1998,5500
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,1999,6300
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,2000,6900
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,2001,6794
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,2002,6300
1,Chincoteague Bay,Temperate North Atlantic,USA,1986,2003,>1000ha,6.39,2003,6220
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1986,29
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1987,75
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1989,132
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1990,180
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1991,180
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1992,200
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1993,230
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1994,280
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1995,230
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1996,350
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1997,420
2,Sinepuxent Bay,Temperate North Atlantic,USA,1986,2003,<1000ha,18.69,1998,480
