"Taxonkey","TaxonName","CommonName"
600115,"Sarda sarda","Atlantic bonito"
400314,"Carangidae","Jacks and pompanos"
100039,"Marine fishes not identified","Marine fishes"
600107,"Katsuwonus pelamis","Skipjack tuna"
600319,"Boreogadus saida","Polar cod"
501135,"Sebastes","Redfishes"
590070,"Lithodes","Lithodes"
600143,"Thunnus albacares","Yellowfin tuna"
600006,"Coryphaena hippurus","Common dolphinfish"
600226,"Xiphias gladius","Swordfish"
600142,"Thunnus alalunga","Albacore"
600384,"Megalaspis cordyla","Torpedo scad"
400076,"Salmonidae","Salmonids"
400183,"Gadidae","Cods and haddocks"
600033,"Molva molva","Ling"
600145,"Thunnus maccoyii","Southern bluefin tuna"
600118,"Scomber scombrus","Atlantic mackerel"
390002,"Teuthida","Squids"
400331,"Sciaenidae","Drums or croakers"
400019,"Rajidae","Skates"
300028,"Clupeiformes","Herrings"
600117,"Scomber japonicus","Chub mackerel"
600364,"Pomatomus saltatrix","Bluefish"
390006,"Sepiida","Cuttlefishes"
1e+05,"Marine animals","Marine animals"
600109,"Rastrelliger brachysoma","Short mackerel"
601520,"Clupea pallasii pallasii","Pacific herring"
600308,"Gadus macrocephalus","Pacific cod"
400218,"Atherinidae","Silversides"
500717,"Myoxocephalus","Sculpins"
500661,"Trachurus","Jack and horse mackerels"
601477,"Sardinops sagax","South American pilchard"
600051,"Brosme brosme","Tusk"
300014,"Rajiformes","Skates and rays"
600024,"Clupea harengus","Atlantic herring"
501552,"Nemipterus","Threadfin breams"
600069,"Gadus morhua","Atlantic cod"
500048,"Paralichthys","American flounders"
600367,"Trachurus murphyi","Inca scad"
501163,"Auxis","Frigate tuna"
690143,"Portunus trituberculatus","Gazami crab"
600066,"Engraulis encrasicolus","European anchovy"
100036,"Scombroids","Tunas bonitos billfishes"
300009,"Squaliformes","Bramble sleeper dogfish sharks"
500468,"Scomberoides","Queenfishes"
600236,"Salmo salar","Atlantic salmon"
502102,"Decapterus","Scads"
300061,"Pleuronectiformes","Flatfishes"
600029,"Merlangius merlangus","Whiting"
600216,"Makaira nigricans","Atlantic blue marlin"
400145,"Ariidae","Sea catfishes"
100345,"Shrimps prawns","Natantian decapods"
100058,"Miscellaneous marine molluscs","Marine molluscs"
614290,"Thunnus orientalis","Pacific bluefin tuna"
601351,"Paralichthys olivaceus","Bastard halibut"
690166,"Ruditapes decussatus","Grooved carpet shell"
400043,"Clupeidae","Herrings shads sardines menhadens"
600240,"Oncorhynchus gorbuscha","Pink salmon"
601288,"Trichiurus lepturus","Largehead hairtail"
400330,"Sparidae","Porgies"
500639,"Alopias","Thresher sharks"
500348,"Mustelus","Smooth-hounds"
601357,"Sprattus sprattus","European sprat"
608172,"Odontesthes regia","Silverside"
602678,"Coregonus sardinella","Sardine cisco"
601371,"Hippoglossus hippoglossus","Atlantic halibut"
600255,"Hypomesus pretiosus","Surf smelt"
601341,"Platichthys flesus","Flounder"
601505,"Sardinella brasiliensis","Brazilian sardinella"
400415,"Trichiuridae","Cutlassfishes"
606479,"Saurida tumbil","Greater lizardfish"
601235,"Sphyraena barracuda","Great barracuda"
290011,"Echinoidea","Sea urchins"
602669,"Coregonus autumnalis","Arctic cisco"
601947,"Parastromateus niger","Black pomfret"
400080,"Osmeridae","Smelts"
501132,"Upeneus","Tropical goatfishes"
601510,"Sardinella lemuru","Bali sardinella"
601453,"Dussumieria acuta","Rainbow sardine"
601592,"Brevoortia tyrannus","Atlantic menhaden"
507720,"Stolephorus","Indo-Pacific anchovies"
600217,"Makaira indica","Black marlin"
400454,"Engraulidae","Anchovies"
600303,"Cololabis saira","Pacific saury"
400359,"Mugilidae","Mullets"
501940,"Sardinella","Sardinella"
509289,"Hemiramphus","Halfbeaks"
605048,"Arripis trutta","Eastern Australian salmon"
600030,"Merluccius merluccius","European hake"
400273,"Platycephalidae","Flatheads"
601508,"Sardinella gibbosa","Goldstripe sardinella"
610307,"Cheilopogon agoo","Japanese flyingfish"
100339,"Marine fishes not identified","Pelagic fishes"
604249,"Platichthys stellatus","Starry flounder"
601342,"Pleuronectes platessa","European plaice"
600047,"Belone belone","Garpike"
300060,"Perciformes","Perch-likes"
390007,"Octopoda","Octopuses"
400013,"Squalidae","Dogfish sharks"
600519,"Hippoglossoides elassodon","Flathead sole"
600252,"Mallotus villosus","Capelin"
601350,"Sardina pilchardus","European pilchard"
690198,"Todarodes pacificus","Japanese flying squid"
600419,"Argyrosomus hololepidotus","Southern meagre"
612547,"Coregonus muksun","Muksun"
300026,"Anguilliformes","Eels and morays"
400206,"Exocoetidae","Flyingfishes"
600114,"Sarda orientalis","Striped bonito"
600139,"Squalus acanthias","Piked dogfish"
600243,"Oncorhynchus nerka","Sockeye salmon"
600144,"Thunnus atlanticus","Blackfin tuna"
600146,"Thunnus obesus","Bigeye tuna"
600241,"Oncorhynchus keta","Chum salmon"
400459,"Caesionidae","Fusiliers"
690272,"Litopenaeus setiferus","Northern white shrimp"
600026,"Glyptocephalus cynoglossus","Witch"
600392,"Arripis georgianus","Australian ruff"
606426,"Pagrus auratus","Squirefish"
600131,"Scomberomorus niphonius","Japanese Spanish mackerel"
100056,"Clams cockles arkshells","Clams cockles arkshells"
501145,"Pagellus","Pandoras"
601367,"Trisopterus luscus","Pouting"
690337,"Mya arenaria","Sand gaper"
400277,"Cottidae","Sculpins"
600525,"Solea solea","Common sole"
690314,"Aequipecten opercularis","Queen scallop"
600126,"Scomberomorus maculatus","Spanish mackerel"
600034,"Pollachius pollachius","Pollack"
601933,"Caranx crysos","Blue runner"
690404,"Venus (=Chamelea) gallina","Striped venus"
400405,"Gobiidae","Gobies"
605382,"Trachurus capensis","Cape horse mackerel"
601365,"Trachurus trachurus","Atlantic horse mackerel"
