"","sciname","common","SpecCode","Resilience"
"1","Acanthistius brasilianus","Sea bass",351,"Medium"
"2","Acanthocybium solandri","Wahoo",89,"Medium"
"3","Acetes japonicus","Akiami paste shrimp",NA,"High"
"4","Aequipecten opercularis","Queen scallop",NA,NA
"5","Alepocephalus bairdii","Bairds smooth-head",230,"Low"
"6","Alosa immaculata","Pontic shad",105,"Medium"
"7","Alosa pseudoharengus","Alewife",1583,"Medium"
"8","Alosa sapidissima","American shad",1584,"Low"
"9","Ammodytes personatus","Pacific sandeel",487,"High"
"10","Anadara granosa","Blood cockle",NA,NA
"11","Anarhichas lupus","Wolf-fish",2501,"Low"
"12","Anarhichas minor","Spotted wolffish",3811,"Low"
"13","Anodontostoma chacunda","Chacunda gizzard shad",1619,"High"
"14","Anoplopoma fimbria","Sablefish",512,"Very low"
"15","Apostichopus japonicus","Japanese sea cucumber",NA,NA
"16","Arctica islandica","Ocean quahog",NA,NA
"17","Arctoscopus japonicus","Sailfin sandfish",463,"Medium"
"18","Argopecten gibbus","Calico scallop",NA,NA
"19","Argopecten irradians","Atlantic bay scallop",NA,NA
"20","Argopecten purpuratus","Peruvian calico scallop",NA,NA
"21","Argopecten ventricosus","Pacific calico scallop",NA,NA
"22","Argyrops spinifer","King soldierbream",442,"Low"
"23","Argyrosomus hololepidotus","Southern meagre",419,"Very low"
"24","Argyrosomus regius","Meagre",418,"Low"
"25","Aristeus antennatus","Blue and red shrimp",NA,NA
"26","Arripis georgianus","Australian ruff",392,"Medium"
"27","Arripis trutta","Eastern Australian salmon",5048,"Medium"
"28","Aspitrigla cuculus","East Atlantic red gurnard",NA,NA
"29","Atheresthes evermanni","Kamchatka flounder",518,"Low"
"30","Atheresthes stomias","Arrowtooth flounder",517,"Low"
"31","Atherina boyeri","Big-scale sand smelt",1696,"Medium"
"32","Atrobucca nibe","Longfin kob",941,"Medium"
"33","Aulacomya ater","Cholga mussel",NA,NA
"34","Austroglossus microlepis","West coast sole",527,"Low"
"35","Auxis thazard thazard","Frigate tuna",NA,NA
"36","Belone belone","Garpike",47,"Medium"
"37","Boops boops","Bogue",203,"Medium"
"38","Boreogadus saida","Polar cod",319,"Medium"
"39","Brachydeuterus auritus","Bigeye grunt",400,"Medium"
"40","Brama brama","Atlantic pomfret",391,"Low"
"41","Bregmaceros mcclellandi","Spotted codlet",8421,"High"
"42","Brevoortia aurea","Brazilian menhaden",1587,"High"
"43","Brevoortia patronus","Gulf menhaden",1589,"Medium"
"44","Brevoortia tyrannus","Atlantic menhaden",1592,"Medium"
"45","Buccinum undatum","Whelk",NA,NA
"46","Callinectes danae","Dana's swimming crab",NA,NA
"47","Callinectes sapidus","Blue crab",NA,NA
"48","Callorhinchus milii","Ghost shark",4722,"Low"
"49","Cancer borealis","Jonah crab",NA,NA
"50","Cancer irroratus","Atlantic rock crab",NA,NA
"51","Cancer magister","Dungeness crab",NA,NA
"52","Cancer pagurus","Edible crab",NA,NA
"53","Carangoides bajad","Orangespotted trevally",1923,"Medium"
"54","Caranx crysos","Blue runner",1933,"Medium"
"55","Caranx hippos","Crevalle jack",71,"Medium"
"56","Caranx ignobilis","Giant trevally",1895,"Medium"
"57","Caranx rhonchus","False scad",1899,"Medium"
