FAO_name,exclude,exclude_no_seaweed,exclude_no_nei,alias,notes,notes_2,Taxon_code
[Boleophthalmus pectinirostris],1,1,1,NA,,Chinese medicine,F
[Chondracanthus chamissoi],0,1,1,NA,seaweed: food/carageenan,non-food use determined using Vasquez and Vega (some for food and carageenan): https://www.researchgate.net/publication/226813687_Chondracanthus_chamissoi_Rhodophyta_Gigartinales_in_northern_Chile_Ecological_aspects_for_management_of_wild_populations; Wiki (Highly consumed in Peru): https://es.wikipedia.org/wiki/Chondracanthus_chamissoi,AL
[Porphyra columbina],0,1,0,NA,seaweed: food,food use determined using New Zealand Gov (Porphyra columbina is also known as karengo indicated as a high value food algae): https://teara.govt.nz/en/seaweed/page-4; Seaweed and Man: https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22; known in Chile as luche https://en.wikipedia.org/wiki/Pyropia_columbina,AL
[Solea spp],0,0,0,NA,,,F
[Spirulina maxima],1,1,1,NA,seaweed,non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Abalones nei,0,0,0,NA,,,BI
Akiami paste shrimp,0,0,0,NA,,,SH
Amberjacks nei,0,0,0,NA,,,F
American bull frog,0,0,0,NA,,,OTHER
American cupped oyster,0,0,0,Cupped oysters nei,,,BI
Anadara clams nei,0,0,0,"Clams, etc. nei",,,BI
Aquatic invertebrates nei,0,0,0,NA,,,INV
Aquatic plants nei,1,1,1,NA,seaweed,non-food use determined using Seaweed Industry Association: https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm,AL
Arctic char,0,0,0,NA,,,F
Areolate grouper,0,0,0,Groupers nei,,,F
Atipa,1,1,1,NA,freshwater,,F
Atlantic bluefin tuna,0,0,0,NA,,,F
Atlantic cod,0,0,0,NA,,,F
Atlantic ditch shrimp,0,0,0,NA,,,SH
Atlantic halibut,0,0,0,NA,,,F
Atlantic salmon,0,0,0,NA,,,F
Atlantic spadefish,1,1,1,NA,mixed use: gamefish/aquarium/food,,F
Atlantic wolffish,0,0,0,NA,,,F
Australian mussel,0,0,0,NA,,,BI
Babberlocks,0,1,0,NA,seaweed,food use determined using FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm; also called Alaria esculenta: https://en.wikipedia.org/wiki/Alaria_esculenta,AL
Bagrid catfish,1,1,1,NA,freshwater,,F
Ballan wrasse,0,0,0,NA,,,F
Baltic prawn,0,0,0,NA,,,SH
Banana prawn,0,0,0,NA,,,SH
Banded carpet shell,0,0,0,NA,,,BI
Barramundi(=Giant seaperch),0,0,0,NA,,,F
Bastard halibut,0,0,0,NA,,,F
Bastard halibuts nei,0,0,0,NA,,,F
Bear paw clam,0,0,0,NA,,,BI
Big-scale sand smelt,0,0,0,Silversides(=Sand smelts) nei,,,F
Bigeye trevally,0,0,0,NA,,,F
Bighead carp,1,1,1,NA,freshwater,,F
Black ark,0,0,0,blood cockle,,,BI
Black bullhead,1,1,1,NA,freshwater,,F
Black catfishes nei,1,1,1,NA,freshwater,,F
Black grouper,0,0,0,Groupers nei,,,F
Black seabass,0,0,0,Seabasses nei,,,F
Blackchin tilapia,1,1,1,NA,freshwater,,F
Blackhead seabream,0,0,0,NA,,,F
Blacklip abalone,0,0,0,NA,,,BI
Blacklip pearl oyster,0,0,0,NA,,,BI
Blackspot(=red) seabream,0,0,0,NA,,,F
